AngleBin,Count
0,0
1,0
2,0
3,1
4,1
5,4
6,0
7,3
8,2
9,4
10,0
11,2
12,3
13,5
14,4
15,5
16,6
17,7
18,3
19,11
20,11
21,10
22,18
23,16
24,14
25,15
26,17
27,16
28,18
29,23
30,17
31,24
32,19
33,20
34,24
35,20
36,33
37,32
38,34
39,28
40,35
41,39
42,43
43,39
44,37
45,38
46,37
47,60
48,50
49,47
50,49
51,65
52,58
53,54
54,61
55,51
56,68
57,72
58,58
59,87
60,56
61,88
62,72
63,67
64,84
65,66
66,70
67,78
68,79
69,105
70,78
71,78
72,88
73,74
74,86
75,67
76,69
77,94
78,82
79,85
80,92
81,78
82,95
83,89
84,99
85,83
86,80
87,96
88,83
89,82
90,89
91,104
92,91
93,82
94,92
95,87
96,99
97,75
98,87
99,73
100,100
101,89
102,80
103,82
104,89
105,94
106,97
107,107
108,71
109,90
110,78
111,72
112,84
113,102
114,79
115,78
116,94
117,73
118,96
119,102
120,88
121,83
122,75
123,80
124,83
125,81
126,83
127,76
128,85
129,92
130,72
131,81
132,70
133,72
134,61
135,62
136,71
137,65
138,65
139,74
140,75
141,54
142,54
143,69
144,64
145,57
146,60
147,47
148,51
149,50
150,41
151,32
152,54
153,50
154,41
155,40
156,45
157,35
158,38
159,42
160,37
161,34
162,24
163,30
164,23
165,28
166,21
167,21
168,12
169,18
170,16
171,17
172,10
173,14
174,12
175,10
176,6
177,9
178,6
179,0
