AngleBin,Count
0,0
1,0
2,0
3,1
4,0
5,0
6,1
7,0
8,0
9,2
10,4
11,2
12,4
13,1
14,3
15,3
16,1
17,5
18,3
19,7
20,5
21,4
22,10
23,20
24,8
25,10
26,5
27,17
28,21
29,8
30,20
31,18
32,20
33,24
34,14
35,18
36,20
37,24
38,15
39,31
40,24
41,29
42,25
43,23
44,10
45,24
46,31
47,28
48,29
49,32
50,25
51,34
52,24
53,40
54,39
55,37
56,34
57,44
58,41
59,41
60,45
61,42
62,48
63,44
64,38
65,44
66,56
67,34
68,49
69,41
70,49
71,31
72,57
73,50
74,44
75,49
76,48
77,56
78,43
79,39
80,60
81,60
82,58
83,56
84,50
85,52
86,50
87,46
88,55
89,54
90,48
91,55
92,59
93,53
94,62
95,60
96,54
97,61
98,55
99,52
100,49
101,54
102,41
103,43
104,46
105,44
106,37
107,45
108,56
109,44
110,35
111,41
112,54
113,51
114,34
115,44
116,43
117,34
118,41
119,43
120,42
121,37
122,30
123,37
124,31
125,43
126,27
127,34
128,42
129,29
130,44
131,27
132,22
133,17
134,27
135,31
136,26
137,28
138,24
139,25
140,15
141,24
142,11
143,22
144,18
145,13
146,20
147,11
148,16
149,23
150,12
151,12
152,9
153,13
154,7
155,15
156,7
157,8
158,7
159,12
160,7
161,6
162,7
163,13
164,8
165,2
166,4
167,4
168,1
169,3
170,0
171,3
172,1
173,1
174,0
175,2
176,0
177,1
178,0
179,0
178,0
179,0
76,3
177,3
178,0
179,2
9,2

179,0

