AngleBin,Count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,1
12,2
13,3
14,6
15,4
16,1
17,3
18,5
19,4
20,5
21,10
22,9
23,11
24,14
25,12
26,12
27,6
28,12
29,14
30,12
31,6
32,10
33,10
34,17
35,11
36,12
37,14
38,14
39,22
40,18
41,14
42,16
43,27
44,26
45,19
46,26
47,24
48,21
49,25
50,25
51,33
52,37
53,30
54,21
55,29
56,44
57,28
58,39
59,20
60,28
61,35
62,45
63,34
64,31
65,39
66,32
67,34
68,29
69,50
70,28
71,30
72,34
73,28
74,37
75,45
76,34
77,24
78,37
79,36
80,31
81,33
82,25
83,38
84,34
85,48
86,34
87,37
88,40
89,42
90,37
91,34
92,28
93,40
94,42
95,40
96,37
97,41
98,45
99,31
100,45
101,28
102,43
103,32
104,41
105,40
106,25
107,36
108,29
109,29
110,34
111,35
112,26
113,33
114,38
115,30
116,32
117,24
118,27
119,28
120,38
121,18
122,29
123,24
124,25
125,23
126,21
127,19
128,13
129,18
130,21
131,14
132,22
133,23
134,14
135,13
136,11
137,15
138,14
139,11
140,13
141,9
142,10
143,11
144,5
145,11
146,7
147,9
148,5
149,7
150,9
151,6
152,5
153,7
154,4
155,4
156,4
157,3
158,4
159,6
160,6
161,8
162,0
163,1
164,0
165,2
166,0
167,2
168,1
169,2
170,4
171,1
172,3
173,1
174,0
175,1
176,0
177,0
178,1
179,0
1

