AngleBin,Count
0,0
1,0
2,0
3,0
4,1
5,2
6,0
7,1
8,3
9,3
10,3
11,9
12,3
13,3
14,4
15,6
16,6
17,7
18,9
19,8
20,15
21,11
22,19
23,17
24,21
25,15
26,20
27,23
28,27
29,26
30,34
31,31
32,43
33,42
34,34
35,45
36,40
37,47
38,38
39,45
40,58
41,48
42,41
43,61
44,66
45,64
46,57
47,78
48,51
49,64
50,88
51,76
52,56
53,79
54,84
55,64
56,92
57,79
58,79
59,69
60,78
61,86
62,99
63,99
64,95
65,86
66,89
67,86
68,101
69,117
70,94
71,100
72,101
73,104
74,91
75,123
76,124
77,116
78,104
79,113
80,109
81,111
82,120
83,105
84,110
85,108
86,116
87,127
88,124
89,126
90,110
91,105
92,122
93,122
94,104
95,107
96,87
97,100
98,109
99,126
100,108
101,124
102,117
103,106
104,100
105,102
106,95
107,96
108,108
109,91
110,95
111,86
112,87
113,85
114,69
115,96
116,72
117,111
118,89
119,78
120,78
121,64
122,83
123,61
124,62
125,68
126,76
127,71
128,65
129,65
130,59
131,67
132,56
133,43
134,48
135,60
136,58
137,46
138,45
139,50
140,37
141,37
142,44
143,35
144,35
145,30
146,32
147,27
148,40
149,18
150,33
151,18
152,31
153,18
154,14
155,18
156,17
157,9
158,13
159,20
160,8
161,13
162,18
163,17
164,11
165,6
166,8
167,8
168,5
169,5
170,6
171,4
172,1
173,0
174,2
175,2
176,2
177,1
178,2
179,1
79,0
